"AppName","AppURL"
"Explain Everything™","https://chrome.google.com/webstore/detail/abgfnbfplmdnhfnonljpllnfcobfebag"
"Orwell App Writing Improvement (Beta)","https://chrome.google.com/webstore/detail/bdbogcjghekklngmcnbnimmmocapfeej"
"Clearly Unread","https://chrome.google.com/webstore/detail/phjpodefdogiimcamdiadgphgmgjjein"
"Google Sheets","https://chrome.google.com/webstore/detail/felcaaldnbdncclmgdcncolpebgiejap"
"Owlsee textReader","https://chrome.google.com/webstore/detail/pjmmkmkbmjgeobhndjjmjjhodngjgpab"
"Britannica Pathways: Science","https://chrome.google.com/webstore/detail/hocbpaaeaomikmnhfponbdbmoggebgmj"
"Project Ignite","https://chrome.google.com/webstore/detail/kdianbbadiljfpmmidcppmngpjkbgaag"
"Screencastify (Screen Video Recorder)","https://chrome.google.com/webstore/detail/mmeijimgabbpbgpdklnllpncmdofkcpn"
"QuizCards: US Capitals","https://chrome.google.com/webstore/detail/jlhcfbghojkmhebppenhjhhjejdcblja"
"Diigo Read Later","https://chrome.google.com/webstore/detail/jooajjfbnpnafgndfpeboaehpddfglaj"
"draw.io Diagrams","https://chrome.google.com/webstore/detail/onlkggianjhjenigcpigpjehhpplldkc"
"Britannica School","https://chrome.google.com/webstore/detail/olelbamogpmnkjdcaafkcjnnfjppoiip"
"Google Classroom","https://chrome.google.com/webstore/detail/mfhehppjhmmnlfbbopchdfldgimhfhfk"
"SAS Reading Records","https://chrome.google.com/webstore/detail/eephllhklmeidhppmjojjhmpfjhfbhii"
"Smartsheet Project Management","https://chrome.google.com/webstore/detail/cindmhdfkimaeggbebfjkmkdfiohldbm"
"Documents Automation for Nutshell CRM","https://chrome.google.com/webstore/detail/ofildonkoemanmapmpkhkmokaibehfjm"
"StudentCreated.TV","https://chrome.google.com/webstore/detail/joedkkbdmjnbnkcimiciacbmlakbnajm"
"Wix Free Website builder - Review","https://chrome.google.com/webstore/detail/abobfeiegcaajeicmdlhfhddpcfnngoj"
"Kaizena (Voice Comments)","https://chrome.google.com/webstore/detail/lhiccpgcnopcjjdobhoddnplkebplfaj"
"join.me for Google Calendar","https://chrome.google.com/webstore/detail/nemahdoihakfniciobefoebllhlobdok"
"Audiotool","https://chrome.google.com/webstore/detail/bkgoccjhfjgjedhkiefaclppgbmoobnk"
"Loupe Collage","https://chrome.google.com/webstore/detail/bhaonknplhhecdgjpphnooeomecgipkc"
"LibreCAD on rollApp","https://chrome.google.com/webstore/detail/gbalmmdepliaghihofedeopaacjfcgab"
"Bitmoji","https://chrome.google.com/webstore/detail/bfgdeiadkckfbkeigkoncpdieiiefpig"
"Scientific Calculator","https://chrome.google.com/webstore/detail/agmhcmdkikmcfbaflidhpapcepmkjdcp"
